Date,Time,Lat,Lon,Base
7/2/2014,17:36:00,40.8277,-73.9255,B02598
7/2/2014,17:46:00,40.8275,-73.9256,B02598
7/2/2014,17:46:00,40.8275,-73.9256,B02598
7/2/2014,18:11:00,40.8889,-73.912,B02598
7/2/2014,18:35:00,40.8273,-73.9251,B02598
7/2/2014,18:42:00,40.888,-73.9109,B02598
7/2/2014,18:51:00,40.8935,-73.9158,B02598
7/2/2014,22:02:00,40.8094,-73.8549,B02598
7/2/2014,22:13:00,40.8367,-73.9142,B02598
7/2/2014,23:13:00,40.818,-73.89,B02598
7/2/2014,23:17:00,40.8189,-73.8881,B02598
7/3/2014,2:35:00,40.8658,-73.8931,B02598
7/3/2014,2:50:00,40.8402,-73.8878,B02598
7/3/2014,3:38:00,40.8309,-73.9201,B02598
7/3/2014,4:36:00,40.8512,-73.8957,B02598
7/3/2014,5:35:00,40.906,-73.8558,B02598
7/3/2014,7:36:00,40.8211,-73.9068,B02598
7/3/2014,8:16:00,40.8661,-73.9028,B02598
7/3/2014,9:01:00,40.8836,-73.8523,B02598
7/3/2014,9:10:00,40.89,-73.9148,B02598
7/3/2014,9:43:00,40.8845,-73.8956,B02598
7/3/2014,10:10:00,40.8171,-73.9231,B02598
7/3/2014,10:12:00,40.8306,-73.8876,B02598
7/3/2014,10:12:00,40.8306,-73.8876,B02598
7/3/2014,10:47:00,40.8022,-73.9128,B02598
7/3/2014,11:13:00,40.9111,-73.9059,B02598
7/3/2014,11:40:00,40.828,-73.9202,B02598
7/3/2014,11:45:00,40.8824,-73.898,B02598
7/3/2014,12:50:00,40.8932,-73.8998,B02598
7/3/2014,13:20:00,40.8572,-73.8894,B02598
7/3/2014,13:39:00,40.8858,-73.91,B02598
7/3/2014,13:55:00,40.846,-73.8448,B02598
7/3/2014,14:04:00,40.8239,-73.931,B02598
7/3/2014,14:08:00,40.8852,-73.9121,B02598
7/3/2014,14:23:00,40.8864,-73.9048,B02598
7/3/2014,14:42:00,40.8889,-73.8922,B02598
7/3/2014,15:04:00,40.823,-73.9315,B02598
7/3/2014,15:07:00,40.8455,-73.845,B02598
7/3/2014,15:28:00,40.8453,-73.8453,B02598
7/3/2014,17:13:00,40.9034,-73.8996,B02598
7/3/2014,17:37:00,40.88,-73.8369,B02598
7/3/2014,18:03:00,40.8979,-73.9047,B02598
7/3/2014,18:13:00,40.8223,-73.8567,B02598
7/3/2014,18:38:00,40.8162,-73.9175,B02598
7/3/2014,19:19:00,40.8614,-73.891,B02598
7/3/2014,19:21:00,40.87,-73.8819,B02598
7/3/2014,19:38:00,40.8847,-73.9154,B02598
7/3/2014,19:41:00,40.8713,-73.9045,B02598
7/3/2014,19:59:00,40.8841,-73.8914,B02598
7/3/2014,22:08:00,40.8613,-73.8909,B02598
7/3/2014,22:44:00,40.826,-73.846,B02598
7/3/2014,23:15:00,40.8594,-73.876,B02598
7/3/2014,23:36:00,40.8653,-73.8227,B02598
7/4/2014,3:05:00,40.8123,-73.9298,B02598
7/4/2014,3:07:00,40.8121,-73.9304,B02598
7/4/2014,3:07:00,40.8121,-73.9304,B02598
7/4/2014,3:27:00,40.8711,-73.8979,B02598
7/4/2014,4:05:00,40.8715,-73.8702,B02598
7/4/2014,9:37:00,40.9039,-73.9064,B02598
7/4/2014,9:59:00,40.8561,-73.8852,B02598
7/4/2014,10:02:00,40.8856,-73.9137,B02598
7/4/2014,11:27:00,40.8854,-73.9034,B02598
7/4/2014,11:41:00,40.8686,-73.8816,B02598
7/4/2014,13:21:00,40.8538,-73.8725,B02598
7/4/2014,14:17:00,40.839,-73.8259,B02598
7/4/2014,16:51:00,40.8556,-73.8829,B02598
7/4/2014,17:40:00,40.8577,-73.8866,B02598
7/4/2014,17:48:00,40.8548,-73.8657,B02598
7/4/2014,17:57:00,40.8379,-73.8266,B02598
7/4/2014,18:05:00,40.887,-73.9085,B02598
7/4/2014,18:52:00,40.8357,-73.8652,B02598
7/4/2014,19:11:00,40.8836,-73.8945,B02598
7/4/2014,19:15:00,40.8613,-73.8981,B02598
7/4/2014,19:18:00,40.8602,-73.8372,B02598
7/4/2014,19:44:00,40.865,-73.9088,B02598
7/4/2014,20:20:00,40.8554,-73.9142,B02598
7/4/2014,20:27:00,40.8967,-73.8509,B02598
7/4/2014,21:17:00,40.828,-73.9219,B02598
7/4/2014,22:08:00,40.8562,-73.8871,B02598
7/4/2014,23:10:00,40.8267,-73.92,B02598
7/4/2014,23:42:00,40.8301,-73.9196,B02598
7/4/2014,23:46:00,40.8873,-73.9052,B02598
7/5/2014,1:19:00,40.8452,-73.824,B02598
7/5/2014,3:08:00,40.8986,-73.8541,B02598
7/5/2014,3:45:00,40.8825,-73.8914,B02598
7/5/2014,6:24:00,40.8459,-73.8231,B02598
7/5/2014,7:19:00,40.8275,-73.8863,B02598
7/5/2014,9:25:00,40.8967,-73.8705,B02598
7/5/2014,10:39:00,40.8782,-73.9031,B02598
7/5/2014,11:04:00,40.86,-73.8574,B02598
7/5/2014,11:26:00,40.8809,-73.857,B02598
7/5/2014,12:22:00,40.8552,-73.8774,B02598
7/5/2014,12:53:00,40.8331,-73.9216,B02598
7/5/2014,12:56:00,40.8511,-73.8823,B02598
7/5/2014,12:56:00,40.8511,-73.8823,B02598
7/5/2014,12:59:00,40.8397,-73.7836,B02598
7/5/2014,14:33:00,40.8852,-73.8957,B02598
7/5/2014,16:04:00,40.8823,-73.9211,B02598
7/5/2014,16:04:00,40.8823,-73.9211,B02598
7/5/2014,16:46:00,40.8122,-73.8464,B02598
7/5/2014,17:07:00,40.8234,-73.9304,B02598
7/5/2014,17:36:00,40.8581,-73.8958,B02598
7/5/2014,17:53:00,40.8808,-73.9192,B02598
7/5/2014,17:53:00,40.8478,-73.8192,B02598
7/5/2014,18:00:00,40.8464,-73.856,B02598
7/5/2014,18:17:00,40.8326,-73.8197,B02598
7/5/2014,18:56:00,40.8783,-73.917,B02598
7/5/2014,19:19:00,40.8483,-73.8315,B02598
7/5/2014,19:30:00,40.8575,-73.857,B02598
7/5/2014,20:41:00,40.8795,-73.9044,B02598
7/5/2014,20:59:00,40.8199,-73.88,B02598
7/5/2014,21:31:00,40.8566,-73.8879,B02598
7/5/2014,22:12:00,40.8753,-73.8602,B02598
7/5/2014,22:39:00,40.8315,-73.8902,B02598
7/6/2014,1:58:00,40.8115,-73.9247,B02598
7/6/2014,3:03:00,40.8721,-73.8882,B02598
7/6/2014,5:41:00,40.8786,-73.8384,B02598
7/6/2014,9:14:00,40.8279,-73.8317,B02598
7/6/2014,10:01:00,40.892,-73.9114,B02598
7/6/2014,10:08:00,40.89,-73.8791,B02598
7/6/2014,10:29:00,40.8321,-73.9089,B02598
7/6/2014,10:33:00,40.8502,-73.8996,B02598
7/6/2014,12:08:00,40.8874,-73.9053,B02598
7/6/2014,12:14:00,40.8941,-73.9101,B02598
7/6/2014,12:34:00,40.8553,-73.8872,B02598
7/6/2014,12:40:00,40.8067,-73.908,B02598
7/6/2014,14:34:00,40.8516,-73.8843,B02598
7/6/2014,14:39:00,40.8891,-73.9086,B02598
7/6/2014,14:49:00,40.8428,-73.8781,B02598
