Base Number,Base Name,Pick Up Date,Number of Trips,Number of Vehicles
B02712,AVE O CAR SERVICE INC,05/10/2015,6,6
B02667,LEON LUXURY LIMO INC,05/11/2015,6,4
B02681,DIRECT CAR & LIMO SERVICE INC.,05/11/2015,6,3
B02710,PARADA CAR SERVICE,05/11/2015,6,6
B02712,AVE O CAR SERVICE INC,05/11/2015,6,6
B01849,JOE PAL LIMOUSINE LTD,05/12/2015,6,4
B02547,NICK CAR & LIMO SERVICE INC.,05/12/2015,6,4
B02664,CORPORATE CAR LTD.,05/12/2015,6,6
B02712,AVE O CAR SERVICE INC,05/12/2015,6,6
B02106,"PERFECT LIMO SERVICE, INC.",05/13/2015,6, -   
B02712,AVE O CAR SERVICE INC,05/13/2015,6,6
B02541,HIBA CAR & LIMO SVC INC.,05/14/2015,6,5
B02673,CONCORDE LIMOUSINE INC,05/14/2015,6,5
B02712,AVE O CAR SERVICE INC,05/14/2015,6,6
B02252,ASIANA LIMOUSINE INC.,05/15/2015,6,2
B02541,HIBA CAR & LIMO SVC INC.,05/15/2015,6,5
B02637,ROOSEVELT CAR & LIMO INC.,05/15/2015,6,6
B02658,ASCONA CAR SERVICE INC.,05/15/2015,6,1
B02689,OCS LIMO CORP.,05/15/2015,6,5
B02710,PARADA CAR SERVICE,05/15/2015,6,6
B02712,AVE O CAR SERVICE INC,05/15/2015,6,6
B01846,ROMANTIQUE LIMOUSINE INC.,05/16/2015,6,6
B02712,AVE O CAR SERVICE INC,05/16/2015,6,6
B01424,EAGLE CAR & LIMO LTD.,05/17/2015,6,1
B02167,MADISON LIMOUSINE INC,05/17/2015,6,1
B02599,CMS LIMO INC.,05/17/2015,6,1
B02712,AVE O CAR SERVICE INC,05/17/2015,6,5
B02718,CHURCHILL EXECUTIVE CARS INC,05/17/2015,6,5
B00623,MANHATTAN INT'L LIMO NETWORK LLC,05/18/2015,6,3
B02637,ROOSEVELT CAR & LIMO INC.,05/18/2015,6,6
B02658,ASCONA CAR SERVICE INC.,05/18/2015,6,1
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,05/18/2015,6,5
B02710,PARADA CAR SERVICE,05/18/2015,6,6
B02712,AVE O CAR SERVICE INC,05/18/2015,6,5
B01849,JOE PAL LIMOUSINE LTD,05/19/2015,6,4
B01928,DISCOVER LIMO INC,05/19/2015,6,4
B02541,HIBA CAR & LIMO SVC INC.,05/19/2015,6,5
B02710,PARADA CAR SERVICE,05/19/2015,6,6
B02712,AVE O CAR SERVICE INC,05/19/2015,6,5
B02167,MADISON LIMOUSINE INC,05/20/2015,6,2
B02712,AVE O CAR SERVICE INC,05/20/2015,6,6
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,05/21/2015,6,4
B01957,"ANIMO, INC",05/21/2015,6,2
B02695,SEE USA TOURS INC.,05/21/2015,6,2
B02710,PARADA CAR SERVICE,05/21/2015,6,6
B01849,JOE PAL LIMOUSINE LTD,05/22/2015,6,4
B02541,HIBA CAR & LIMO SVC INC.,05/22/2015,6,5
B02637,ROOSEVELT CAR & LIMO INC.,05/22/2015,6,6
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,05/22/2015,6,6
B02710,PARADA CAR SERVICE,05/22/2015,6,6
B02712,AVE O CAR SERVICE INC,05/22/2015,6,6
b00881,CROSSBAY CAR SERVICE INC.,05/23/2015,6,6
B02265,"COUNTY CAR SERVICE, INC.",05/23/2015,6,1
B02470,CRI LIMO INC.,05/23/2015,6,2
B02532,COZY RIDE LIMOUSINE INC,05/23/2015,6, -   
B02541,HIBA CAR & LIMO SVC INC.,05/23/2015,6,4
B02637,ROOSEVELT CAR & LIMO INC.,05/23/2015,6,6
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,05/23/2015,6,5
B00035,LOTUS RIDE INC,05/24/2015,6,3
B00083,PAGE-A-RIDE INC,05/24/2015,6,3
B01608,JERUSALEM CAR COM.INC.,05/24/2015,6,3
B02144,"SILVER STAR LIMOUSINES, INC.",05/24/2015,6,5
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",05/24/2015,6, -   
B02712,AVE O CAR SERVICE INC,05/24/2015,6,5
b01013,AMERICANA TRANSPORTATION LLC,05/25/2015,6,2
B01608,JERUSALEM CAR COM.INC.,05/25/2015,6,3
B02248,HYBRID LIMO EXPRESS INC.,05/25/2015,6,1
B02541,HIBA CAR & LIMO SVC INC.,05/25/2015,6,5
B02710,PARADA CAR SERVICE,05/25/2015,6,6
B02167,MADISON LIMOUSINE INC,05/26/2015,6,2
B02435,"TEINETCO, INC",05/26/2015,6,5
B02681,DIRECT CAR & LIMO SERVICE INC.,05/26/2015,6,3
B02712,AVE O CAR SERVICE INC,05/26/2015,6,6
B01849,JOE PAL LIMOUSINE LTD,05/27/2015,6,4
B02541,HIBA CAR & LIMO SVC INC.,05/27/2015,6,6
B02637,ROOSEVELT CAR & LIMO INC.,05/27/2015,6,5
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,05/27/2015,6,6
B02710,PARADA CAR SERVICE,05/27/2015,6,6
B02167,MADISON LIMOUSINE INC,05/28/2015,6,1
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",05/28/2015,6,6
B02712,AVE O CAR SERVICE INC,05/28/2015,6,6
B01846,ROMANTIQUE LIMOUSINE INC.,05/29/2015,6,5
B02167,MADISON LIMOUSINE INC,05/29/2015,6,2
B02183,BANGLA CAR & LIMO. SERVICE INC.,05/29/2015,6,6
B02710,PARADA CAR SERVICE,05/29/2015,6,6
B00084,AUTOMOTIVE SVC SYSTEM INC,05/30/2015,6,3
B02147,"MITA LIMOUSINE, INC.",05/30/2015,6,3
B02599,CMS LIMO INC.,05/30/2015,6,1
B02712,AVE O CAR SERVICE INC,05/30/2015,6,5
B01424,EAGLE CAR & LIMO LTD.,05/31/2015,6,2
B01912,"CAR 24 TRANSPORTATION, INC",05/31/2015,6, -   
B02155,ABA LUXURY CAR INC.,05/31/2015,6,6
B02252,ASIANA LIMOUSINE INC.,05/31/2015,6,2
B02753,DADDY LIMO INC,05/31/2015,6,6
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",05/31/2015,6,4
B00208,ERNEST SCHWARZ INC,06/01/2015,6,4
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,06/01/2015,6,2
B01727,"CHAUFFEUR SERVICES, INC.",06/01/2015,6,3
B02167,MADISON LIMOUSINE INC,06/01/2015,6, -   
B02287,"ROAD NEW YORK ENTERPRISES, INC.",06/01/2015,6,4
B02633,USHLS CORP,06/01/2015,6,4
B01727,"CHAUFFEUR SERVICES, INC.",06/02/2015,6,4
B02106,"PERFECT LIMO SERVICE, INC.",06/02/2015,6, -   
B02564,LAGUARDIA LUXURY CAR & LIMO,06/02/2015,6,3
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",06/02/2015,6,6
B02689,OCS LIMO CORP.,06/02/2015,6,2
B02808,INVASORA EXPRESS CAR SERVICE CORP.,06/02/2015,6,4
B01970,GRAFE STREET SERVICE CORP.,06/03/2015,6,4
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,06/03/2015,6,3
B02673,CONCORDE LIMOUSINE INC,06/03/2015,6,5
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,06/04/2015,6,2
B01727,"CHAUFFEUR SERVICES, INC.",06/04/2015,6,3
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,06/04/2015,6,3
B02673,CONCORDE LIMOUSINE INC,06/04/2015,6,4
B02808,INVASORA EXPRESS CAR SERVICE CORP.,06/04/2015,6,4
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,06/05/2015,6,3
B02106,"PERFECT LIMO SERVICE, INC.",06/05/2015,6, -   
B02252,ASIANA LIMOUSINE INC.,06/05/2015,6,3
B02808,INVASORA EXPRESS CAR SERVICE CORP.,06/05/2015,6,2
B00208,ERNEST SCHWARZ INC,06/06/2015,6,5
B01608,JERUSALEM CAR COM.INC.,06/06/2015,6,4
B01846,ROMANTIQUE LIMOUSINE INC.,06/06/2015,6,6
B02542,BAILEY LUXURY & LIMOUSINE CORP.,06/06/2015,6,4
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,06/07/2015,6,2
B01608,JERUSALEM CAR COM.INC.,06/07/2015,6,2
B02252,ASIANA LIMOUSINE INC.,06/07/2015,6,2
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",06/07/2015,6, -   
B02637,ROOSEVELT CAR & LIMO INC.,06/07/2015,6,6
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",06/07/2015,6,6
B01957,"ANIMO, INC",06/08/2015,6,2
